GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CrossingGuardJoe,com.CrossingGuardJoe.viewer.menu,MenuViewer,61,0,4,0,12,0,6,0,4,0
CrossingGuardJoe,com.CrossingGuardJoe.viewer.menu,CustomizeMenuViewer,344,0,26,0,59,0,21,0,8,0
CrossingGuardJoe,com.CrossingGuardJoe.viewer.menu,GameOverViewer,164,0,8,0,23,0,8,0,4,0
CrossingGuardJoe,com.CrossingGuardJoe.viewer.menu,StatsMenuViewer,152,0,4,0,21,0,6,0,4,0
CrossingGuardJoe,com.CrossingGuardJoe.viewer.menu,PauseMenuViewer,62,0,4,0,13,0,6,0,4,0
CrossingGuardJoe,com.CrossingGuardJoe.viewer.menu,InstructionsMenuViewer,499,0,10,0,78,0,16,0,9,0
CrossingGuardJoe,com.CrossingGuardJoe.model.menu,InstructionsMenu,44,0,4,0,16,0,9,0,7,0
CrossingGuardJoe,com.CrossingGuardJoe.model.menu,PauseMenu,114,0,2,0,18,0,13,0,12,0
CrossingGuardJoe,com.CrossingGuardJoe.model.menu,StatsMenu,27,0,0,0,10,0,5,0,5,0
CrossingGuardJoe,com.CrossingGuardJoe.model.menu,GameOverMenu,106,0,2,0,20,0,14,0,13,0
CrossingGuardJoe,com.CrossingGuardJoe.model.menu,Menu,125,0,2,0,17,0,13,0,12,0
CrossingGuardJoe,com.CrossingGuardJoe.model.menu,Option,12,0,0,0,1,0,1,0,1,0
CrossingGuardJoe,com.CrossingGuardJoe.model.menu,CustomizeMenu,869,0,30,0,94,0,43,0,28,0
CrossingGuardJoe,com.CrossingGuardJoe.model.menu,ColorPaletteMenu,65,0,2,0,17,0,10,0,9,0
CrossingGuardJoe,com.CrossingGuardJoe.viewer.images.defined,LogoImages,419,0,0,0,3,0,3,0,3,0
