App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
CrossingGuardJoe,Game.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\main\java\com\CrossingGuardJoe\Game.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\test\java\com\CrossingGuardJoe\GameTest.java,Game.java,GameTest.java,9,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
CrossingGuardJoe,Controller.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\main\java\com\CrossingGuardJoe\controller\Controller.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\test\java\com\CrossingGuardJoe\controller\ControllerTest.java,controller\Controller.java,controller\ControllerTest.java,2,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
CrossingGuardJoe,AuxCheckRange.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\main\java\com\CrossingGuardJoe\controller\game\AuxCheckRange.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\test\java\com\CrossingGuardJoe\controller\game\AuxCheckRangeTest.java,controller\game\AuxCheckRange.java,controller\game\AuxCheckRangeTest.java,4,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
CrossingGuardJoe,RoadController.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\main\java\com\CrossingGuardJoe\controller\game\RoadController.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\test\java\com\CrossingGuardJoe\controller\game\RoadControllerTest.java,controller\game\RoadController.java,controller\game\RoadControllerTest.java,1,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
CrossingGuardJoe,CarController.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\main\java\com\CrossingGuardJoe\controller\game\elements\CarController.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\test\java\com\CrossingGuardJoe\controller\game\elements\CarControllerTest.java,controller\game\elements\CarController.java,controller\game\elements\CarControllerTest.java,2,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
CrossingGuardJoe,JoeController.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\main\java\com\CrossingGuardJoe\controller\game\elements\JoeController.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\test\java\com\CrossingGuardJoe\controller\game\elements\JoeControllerTest.java,controller\game\elements\JoeController.java,controller\game\elements\JoeControllerTest.java,13,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
CrossingGuardJoe,CustomizeMenuController.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\main\java\com\CrossingGuardJoe\controller\menu\CustomizeMenuController.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\test\java\com\CrossingGuardJoe\controller\menu\CustomizeMenuControllerTest.java,controller\menu\CustomizeMenuController.java,controller\menu\CustomizeMenuControllerTest.java,1,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
CrossingGuardJoe,GameOverMenuController.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\main\java\com\CrossingGuardJoe\controller\menu\GameOverMenuController.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\test\java\com\CrossingGuardJoe\controller\menu\GameOverMenuControllerTest.java,controller\menu\GameOverMenuController.java,controller\menu\GameOverMenuControllerTest.java,1,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
CrossingGuardJoe,InstructionsMenuController.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\main\java\com\CrossingGuardJoe\controller\menu\InstructionsMenuController.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\test\java\com\CrossingGuardJoe\controller\menu\InstructionsMenuControllerTest.java,controller\menu\InstructionsMenuController.java,controller\menu\InstructionsMenuControllerTest.java,1,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
CrossingGuardJoe,MenuController.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\main\java\com\CrossingGuardJoe\controller\menu\MenuController.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\test\java\com\CrossingGuardJoe\controller\menu\MenuControllerTest.java,controller\menu\MenuController.java,controller\menu\MenuControllerTest.java,1,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
CrossingGuardJoe,PauseMenuController.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\main\java\com\CrossingGuardJoe\controller\menu\PauseMenuController.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\test\java\com\CrossingGuardJoe\controller\menu\PauseMenuControllerTest.java,controller\menu\PauseMenuController.java,controller\menu\PauseMenuControllerTest.java,1,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
